timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:28:58.071013,AWS,ca-central-1,35.183.113.19,AWS,ap-southeast-1,13.229.101.72,TRUE,81.4,79,96,0,,
2025-08-02T02:29:07.449580,AWS,ca-central-1,35.183.113.19,AWS,eu-central-1,18.184.239.190,TRUE,271.4,271,272,0,,
2025-08-02T02:29:16.881050,AWS,ca-central-1,35.183.113.19,AWS,eu-south-2,51.48.91.118,TRUE,289.9,288,304,0,,
2025-08-02T02:29:26.304150,AWS,ca-central-1,35.183.113.19,AWS,eu-west-1,63.33.190.43,TRUE,273.4,273,274,0,,
2025-08-02T02:29:35.722287,AWS,ca-central-1,35.183.113.19,AWS,me-south-1,157.175.182.59,TRUE,294.6,294,295,0,,
2025-08-02T02:29:45.173260,AWS,ca-central-1,35.183.113.19,AWS,sa-east-1,52.67.230.2,TRUE,304.9,304,306,0,,
2025-08-02T02:29:54.491266,AWS,ca-central-1,35.183.113.19,AWS,us-east-1,13.223.204.77,TRUE,185.9,185,186,0,,
2025-08-02T02:30:03.752408,AWS,ca-central-1,35.183.113.19,AWS,us-west-1,54.193.216.187,TRUE,123,122,124,0,,
2025-08-02T02:30:12.926040,AWS,ca-central-1,35.183.113.19,GCP,asia-east2,34.92.77.143,TRUE,42.8,42,44,0,,
2025-08-02T02:30:22.094135,AWS,ca-central-1,35.183.113.19,GCP,asia-northeast1,34.146.113.141,TRUE,36.5,36,39,0,,
2025-08-02T02:30:31.384458,AWS,ca-central-1,35.183.113.19,GCP,asia-south1,34.93.67.233,TRUE,137.5,137,139,0,,
2025-08-02T02:30:40.582104,AWS,ca-central-1,35.183.113.19,GCP,asia-southeast1,34.126.128.161,TRUE,78.1,77,79,0,,
2025-08-02T02:30:49.851324,AWS,ca-central-1,35.183.113.19,GCP,australia-southeast1,35.244.90.228,TRUE,138.3,138,140,0,,
2025-08-02T02:30:59.237231,AWS,ca-central-1,35.183.113.19,GCP,europe-central2,34.118.31.88,TRUE,265.8,265,268,0,,
2025-08-02T02:31:08.629220,AWS,ca-central-1,35.183.113.19,GCP,europe-west12,34.17.122.250,TRUE,258,257,261,0,,
2025-08-02T02:31:18.008696,AWS,ca-central-1,35.183.113.19,GCP,europe-west4,34.13.152.183,TRUE,247,246,248,0,,
2025-08-02T02:31:27.308902,AWS,ca-central-1,35.183.113.19,GCP,northamerica-northeast1,34.152.17.65,TRUE,185.9,185,187,0,,
